Academic And Career Education Academy,http://aceaofmidland.org/
Academy For Business And Technology,http://www.abtmelvindale.com/index.htm
Academy Of International Studies,http://www.academyofinternationalstudies.com
Academy Of Warren,http://www.charteracademies.com/academy-of-warren/
Ace Academy (Sda),http://www.aceacademysda.com
Achieve Charter Academy,http://www.nhaschools.com/schools/achieve/en/pages/default.aspx
Adams Township School District,http://www.adams.k12.mi.us/
Addison Community Schools,http://addisonschools.org
"Adrian, School District Of The City Of",http://www.theadrianmaples.com
Advanced Technology Academy,http://atafordpas.org
Agbu Alex-Marie Manoogian School,http://www.manoogian.org
Airport Community Schools,http://www.airportschools.com
Akron-Fairgrove Schools,http://akronfairgrove.org
Alanson Public Schools,http://www.alansonvikings.net
Alba Public Schools,http://www.albaschool.org
Alcona Community Schools,http://alconaschools.org
Algonac Community School District,http://www.algonac.k12.mi.us
Allegan Area Educational Service Agency,http://www.alleganaesa.org
Allegan Public Schools,http://www.alleganpublicschools.org
Allen Park Public Schools,http://www.apps.k12.mi.us/
Allendale Public Schools,http://www.allendale.k12.mi.us
Alma Public Schools,http://www.almaschools.net
Almont Community Schools,http://www.almontschools.org
Alpena Public Schools,http://www.alpenaschools.com
Alpena-Montmorency-Alcona Esd,http://amaesd.org
Alternative Educational Academy Of Iosco County,NA
Alternative Educational Academy Of Ogemaw County,NA
American International Academy,http://www.amaericanintlacademy.com
American Montessori Academy,http://www.americanmontessori.net
Anchor Bay School District,http://www.anchorbay.misd.net
Ann Arbor Learning Community,http://www.annarborlearningcommunity.org
Ann Arbor Public Schools,http://www.aaps.k12.mi.us/
Arbor Academy,http://www.arbor-academy.org
Arbor Preparatory High School,http://www.arborprep.com
Arenac Eastern School District,http://www.arenaceastern.org
Armada Area Schools,http://www.armadaschools.org
Arts Academy In The Woods,http://www.artsacad.net
Arts And Technology Academy Of Pontiac,http://pontiacpsa.org
Arvon Township School District,http://www.arvontownshipschool.org/
Ashley Community Schools,http://www.ashleyschools.net
Athens Area Schools,http://www.athensk12.org
Atherton Community Schools,http://www.athertonschools.org
Atlanta Community Schools,http://www.atlantaschools.us
Au Gres-Sims School District,http://www.ags-schools.org
Augusta Academy,NA
Autrain-Onota Public Schools,http://www.autrainonota.com
Avondale School District,http://www.avondaleschools.org
Bad Axe Public Schools,http://www.badaxeps.org
Baldwin Community Schools,http://www.baldwin.k12.mi.us
Bangor Public Schools (Van Buren),http://www.bangorvikings.org
Bangor Township School District #8,NA
Bangor Township Schools,http://www.bangorschools.org/
Baraga Area Schools,http://www.baragaschools.org/
Bark River-Harris School District,http://www.dsisd.k12.mi.us/barkriver
Barry Independent School District,http://www.barryisd.org
Bath Community Schools,http://www.bathschools.net
Battle Creek Area Learning Center,NA
Battle Creek Montessori Academy,http://battlecreekmontessoriacademy.com
Battle Creek Public Schools,http://www.battlecreekpublicschools.org
Bay City Academy,http://www.baycityacademy.com
Bay City School District,http://www.bcschools.net
Bay County Psa,http://www.statestreetacademy.org
Bay-Arenac Community High School,http://bachs.us
Bay-Arenac Independent School District,http://www.baisd.net
Beal City Public Schools,http://www.bealcityschools.net/
Bear Lake Schools,http://199.176.176.59/
Beaver Island Community School,http://www.beaverisland.k12.mi.us/beaverisland/site/default.asp
Beaverton Rural Schools,http://www.beavertonruralschools.com
Bedford Public Schools,http://www.bedford.k12.mi.us
Beecher Community School District,http://www.beecherschools.org
Belding Area School District,http://www.bas-k12.org
Bellaire Public Schools,http://www.bellairepublicschools.com
Bellevue Community Schools,http://www.bellevue-schools.org
Bendle Public Schools,http://www.bendleschools.org
Bentley Community School District,http://bentleyschools.org
Benton Harbor Area Schools,http://www.bhas.org
Benton Harbor Charter School Academy,http://www.bentonharborcharter.com
Benzie County Central Schools,http://www.benzieschools.net
Berkley School District,http://www.berkleyschools.org
Berlin Township School District #3,NA
Berrien Regional Educational Service Agency,http://www.berrienresa.org
Berrien Springs Public Schools,http://www.HomeOfTheShamrocks.org
Bessemer Area School District,http://www.bessemer.k12.mi.us/
Big Bay De Noc School District,http://www.bigbayschool.com
Big Jackson School District,http://bigjackson.ncats.net/
Big Rapids Public Schools,http://www.brps.org
Birch Run Area Schools,http://www.birchrunschools.org
Birmingham Public Schools,http://www.birmingham.k12.mi.us
Black River Public School,http://www.BlackRiverPublicSchool.org
Blanche Kelso Bruce Academy,NA
Blended Learning Academies Credit Recovery High School,http://www.blendedacademies.org
Blissfield Community Schools,http://www.blissfieldschools.us
Bloomfield Hills Schools,http://www.bloomfield.org
Bloomingdale Public School District,http://www.bdalecards.org
Blue Water Middle College,http://www.sccresa.org/bwmc
Bois Blanc Pines School District,http://boisblanc.schoolwires.com/boisblanc
Boyne City Public Schools,http://www.boyne.k12.mi.us
Boyne Falls Public School District,http://www.boynefalls.org
Bradford Academy,http://www.bradfordacademy.com/
Branch Independent School District,http://branch-isd.org
Branch Line School,http://www.branchlineschool.org
Brandon School District In The Counties Of Oakland And Lapeer,http://brandonschooldistrict.org
Brandywine Community Schools,http://www.brandywinebobcats.org
Breckenridge Community Schools,http://breckhuskies.org
Breitung Township School District,http://kingsford.org
Bridge Academy,http://www.bridge-academy.org
Bridgeport-Spaulding Community School District,http://www.bscs.k12.mi.us
Bridgman Public Schools,http://www.bridgmanschools.com
Brighton Area Schools,http://www.bas.k12.mi.us
Brimley Area Schools,http://www.eup.k12.mi.us/brimley
Britton Deerfield Schools,http://bdschools.us
Bronson Community School District,http://www.bronson.k12.mi.us
Brown City Community Schools,http://www.bc.k12.mi.us
Buchanan Community Schools,http://www.buchananschools.com
Buckley Community Schools,http://buckleyschools.com
Bullock Creek School District,http://www.bcreek.k12.mi.us
Burr Oak Community School District,http://server.remc12.k12.mi.us/burr-oak
Burt Township School District,NA
Burton Glen Charter Academy,http://www.nhaschools.com/schools/burtonglen/en/pages/default.aspx
Byron Area Schools,http://byron.k12.mi.us
Byron Center Charter School,http://www.byroncentercharter.org
Byron Center Public Schools,http://www.bcpsk12.net
C.O.O.R. Independent School District,http://www.coorisd.k12.mi.us
Cadillac Area Public Schools,http://www.vikingnet.org
Caledonia Community Schools,http://www.calschools.org
Calhoun Independent School District,http://www.calhounisd.org
Camden-Frontier School,http://www.cfss.org
Caniff Liberty Academy,NA
Canton Charter Academy,http://www.nhaschools.com/schools/canton/en/pages/default.aspx
Canton Preparatory High School,NA
Capac Community Schools,http://capacschools.us
Capstone Academy Charter School (Sda),NA
Carman-Ainsworth Community Schools,http://www.carman.k12.mi.us
Carney-Nadeau Public Schools,http://www.cnps.us
Caro Community Schools,http://www.carok12.org
Carrollton Public Schools,http://www.carrollton.k12.mi.us
Carson City-Crystal Area Schools,http://www.carsoncity.k12.mi.us
Carsonville-Port Sanilac School District,http://www.carsport.k12.mi.us
Caseville Public Schools,http://www.caseville.k12.mi.us
Casman Alternative Academy,http://www.casman.org
Cass City Public Schools,http://www.casscityschools.org
Cassopolis Public Schools,http://www.cassopolis.k12.mi.us
Cedar Springs Public Schools,http://www.csredhawks.org
Center Line Public Schools,http://www.clps.org
Central Academy,http://centralacademy.net
Central Lake Public Schools,http://www.clps.k12.mi.us
Central Montcalm Public Schools,http://www.qualityschool.org
Centreville Public Schools,http://cpschools.org
Cesar Chavez Academy,http://www.chavezacademy.com
Chandler Park Academy,http://www.2cpaeductr.com/
Chandler Woods Charter Academy,http://chandlerwoods.heritageacademies.com/
Charlevoix Montessori Academy For The Arts,http://www.cma.edu
Charlevoix Public Schools,http://www.rayder.net
Charlevoix-Emmet Independent School District,http://www.charemisd.org
Charlotte Public Schools,http://www.charlottenet.org/
Charlton Heston Academy,http://www.charltonhestonacademy.com
Charyl Stockwell Academy,http://www.csaschool.org
Chassell Township School District,http://www.chassellschools.org
Chatfield School,http://chatfieldschool.org
Cheb-Otsego-Presque Isle Esd,http://www.copesd.org
Cheboygan Area Schools,http://www.chebschools.org
Chelsea School District,http://chelsea.k12.mi.us
Chesaning Union Schools,http://www.chesaningschools.net
Chippewa Hills School District,http://www.chsd.us
Chippewa Valley Schools,http://www.chippewavalleyschools.org
Church School District,http://www.huroncountyruralschools.com/church/index.html
Clare Public Schools,http://clare.k12.mi.us
Clare-Gladwin Regional Education Service District,http://www.cgresd.net
Clarenceville School District,http://www.clarencevilleschools.org
Clarkston Community School District,http://www.clarkston.k12.mi.us
Clawson Public Schools,http://www.clawsonschools.org
Climax-Scotts Community Schools,http://www.csschools.net
Clinton Community Schools,http://www.clinton.k12.mi.us
Clinton County Regional Educational Service Agency,http://www.ccresa.org
Clintondale Community Schools,http://www.clintondale.k12.mi.us
Clio Area School District,http://www.clioschools.org
Coldwater Community Schools,http://www.coldwaterschools.org
Cole Academy,http://www.coleacademy.org
Coleman Community Schools,http://www.colemanschools.net
Colfax Township School District #1f,http://www.huroncountyruralschools.com/bigburning/index.html
Coloma Community Schools,http://remc11.k12.mi.us/coloma
Colon Community School District,http://www.colonschools.org
Columbia School District,http://Columbiaschooldistrict.org
Commonwealth Community Development Academy,http://www.cwdacademy.com/
Comstock Park Public Schools,http://www.cppschools.com
Comstock Public Schools,http://www.comstockps.org
Concord Academy - Boyne,http://concordboyne.com
Concord Academy - Petoskey,http://www.concordpetoskey.com
Concord Community Schools,http://www.concordschools.net
Conner Creek Academy East,http://d51425.u26.77inc.com/index.html
Constantine Public School District,http://www.constps.org
Coopersville Area Public School District,http://www.coopersvillebroncos.org
Copper Country Independent School District,http://www.copperisd.org
Cornerstone Health And Technology School,NA
Cornerstone Jefferson-Douglass Academy,NA
Corunna Public Schools,http://www.corunna.k12.mi.us
Countryside Academy,http://www.countrysideacademy.org
Covenant House Academy Detroit,http://www.covenanthouseacademies.org
Covenant House Academy Grand Rapids,NA
Covert Public Schools,http://www.covertpublicschools.org
Crawford Ausable Schools,http://www.casdk12.net
Creative Montessori Academy,http://www.creative-montessori.com
Creative Technologies Academy,http://ctaschool.com
Crescent Academy,http://www.crescentacademycharterschool.com/site/index.asp
Crestwood School District,http://www.csdm.k12.mi.us
Cross Creek Charter Academy,http://crosscreek.heritageacademies.com/
Crossroads Charter Academy,http://www.ccabr.org/
Croswell-Lexington Community Schools,http://www.croslex.org
Da Vinci Institute,http://www.davincik12.org
Dansville Schools,http://dansville.org
David Ellis Academy,http://davidellisacademy.com
David Ellis Academy West,http://www.davidellisacademywest.com/
Davison Community Schools,http://www.davisonschools.org
Dearborn City School District,http://www.dearbornschools.org
Dearborn Heights School District #7,http://www.district7.net
Decatur Public Schools,http://www.raiderpride.org
Deckerville Community School District,http://www.deckerville.k12.mi.us
Delta-Schoolcraft Independent School District,http://dsisd.k12.mi.us
Delton Kellogg Schools,http://www.dkschools.org
Detour Area Schools,http://detour.eup.k12.mi.us/detouras/site/default.asp
Detour Arts And Technology Academy,http://detourata.eup.k12.mi.us
Detroit Academy Of Arts And Sciences,http://www.daasdistrict.org
Detroit Achievement Academy,NA
Detroit Community Schools,http://www.detcomschools.org/home
Detroit Delta Preparatory Academy For Social Justice,http://www.detroitdeltaprep.org
Detroit Edison Public School Academy,http://www.detroitedisonpsa.org
Detroit Enterprise Academy,http://detroitenterprise.heritageacademies.com/
Detroit Innovation Academy,http://ydetroitacademy.org/our-schools/detroit-innovation-academy
Detroit Leadership Academy,http://www.dlachampion.org
Detroit Merit Charter Academy,http://detroitmerit.heritageacademies.com/
Detroit Premier Academy,http://detroitpremier.heritageacademies.com/
Detroit Prep,NA
Detroit Public Safety Academy,http://www.detroitpsa.com
Detroit Public Schools Community District,http://www.detroitk12.org
Detroit Service Learning Academy,http://www.detroitsla.org
DeWitt Public Schools,http://dewittschools.net
Dexter Community School District,http://www.dexterschools.org
Dickinson-Iron Independent School District,http://www.diisd.org
Dollar Bay-Tamarack City Area Schools,http://www.dollarbay.k12.mi.us
Dove Academy Of Detroit,http://doveacademy.net/
Dowagiac Union School District,http://www.dowagiacschools.org
Dr. Joseph F. Pollack Academic Center Of Excellence,http://www.emich.edu/charter/flash/index.html
Dryden Community Schools,http://www.dryden.k12.mi.us
Dundee Community Schools,http://www.dundeecommunityschools.org/
Durand Area Schools,http://durand.k12.mi.us
Eagle Crest Charter Academy,http://eaglecrest.heritageacademies.com/
Eagle's Nest Academy,NA
East Arbor Charter Academy,http://eastarbor.heritageacademies.com
East China School District,http://www.ecsd.us
East Detroit Public Schools,http://www.eastdetroit.org
East Grand Rapids Public Schools,http://www.egrps.org
East Jackson Community Schools,http://www.eastjacksonschools.org/
East Jordan Public Schools,http://www.ejps.org
East Lansing School District,http://elps.k12.mi.us
East Shore Leadership Academy,NA
Eastern Upper Peninsula Independent School District,http://www.eupschools.org
Easton Township School District #6,NA
Eaton Academy,NA
Eaton Rapids Public Schools,http://www.erpsk12.org
Eaton Regional Educational Service Agency,http://www.eatonresa.org
Eau Claire Public Schools,http://www.eauclairepublicschools.com
Ecorse Public Schools,http://www.resa.net/ecorse
Education Achievement Authority Of Michigan,NA
Edwardsburg Public Schools,http://www.edwardsburgpublicschools.org
El-Hajj Malik El-Shabazz Academy,http://www.shabazzacademy.com
Elk Rapids Schools,http://www.erschools.com
Elkton-Pigeon-Bay Port Laker Schools,http://www.lakerschools.org
Ellsworth Community School,http://www.ellsworth.k12.mi.us
Elm River Township School District,http://www.elmriver.k12.mi.us
Endeavor Charter Academy,http://endeavor.heritageacademies.com/
Engadine Consolidated Schools,http://www.eup.k12.mi.us/engadine
Escanaba Area Public Schools,http://www.eskymos.com
Escuela Avancemos,NA
Essexville-Hampton Public Schools,http://www.e-hps.net
Evart Public Schools,http://www.evart.k12.mi.us
Evergreen Academy,NA
Ewen-Trout Creek Consolidated School District,http://www.etc.k12.mi.us
Excel Charter Academy,http://excel.heritageacademies.com/
Excelsior Township School District #1,NA
Fairview Area School District,http://www.fairview.k12.mi.us
Farmington Public School District,http://www.farmington.k12.mi.us
Farwell Area Schools,http://www.farwellschools.net
Faxon Language Immersion Academy,http://faxonacademy.com
Fennville Public Schools,http://www.fennvilleschools.org
Fenton Area Public Schools,http://www.fentonschools.org
Ferndale Public Schools,http://www.ferndaleschools.org
Fitzgerald Public Schools,http://www.fitz.k12.mi.us/
Flagship Charter Academy,http://flagship.heritageacademies.com/
Flat Rock Community Schools,http://www.flatrockschools.org
Flextech High School,http://www.flextech-hs.org/
"Flint, School District Of The City Of",http://www.flintschools.org
Flushing Community Schools,http://www.flushingschools.org
Forest Academy,http://forest-academy.org/
Forest Area Community Schools,http://www.forestarea.org
Forest Hills Public Schools,http://www.fhps.net
Forest Park School District,http://www.fptrojans.org
Fortis Academy,http://fortis.heritageacademies.com/
Four Corners Montessori Academy,http://www.fourcornersmontessori.com
Fowler Public Schools,http://www.fowlerschools.net
Fowlerville Community Schools,http://www.fowlervilleschools.org
Francis Reh Psa,http://www.francisreh.com/index.htm
Frankenmuth School District,http://www.frankenmuth.k12.mi.us
Frankfort-Elberta Area Schools,http://www.frankfort.k12.mi.us
Fraser Public Schools,http://www.fraser.k12.mi.us/
Frederick Douglass International Academy,NA
Freeland Community School District,http://www.freelandschools.net
Fremont Public School District,http://www.fremont.net
Frontier International Academy,http://www.frontier-academy.net/
Fruitport Community Schools,http://www.fruitportschools.net
Fulton Schools,http://www.fultonpirates.net
Galesburg-Augusta Community Schools,http://www.g-aschools.org
Garden City Public Schools,http://www.gardencityschools.com/
Gateway To Success Academy,http://www.g2sacademy.net
Gaylord Community Schools,http://www.gaylordschools.com
Gee Edmonson Academy,http://edmonson.gee-edu.com/
Gee White Academy,http://white.gee-edu.com/
Genesee Independent School District,http://www.geneseeisd.org
Genesee School District,http://www.geneseeschools.org
Genesee Stem Academy,http://geneseestem.com
George Crockett Academy,http://www.crockettacademy.com
George Washington Carver Academy,http://www.gwcarveracademy.org
Gibraltar School District,http://www.gibdist.net
Gladstone Area Schools,http://gladstoneschools.com
Gladwin Community Schools,http://www.gladwinschools.net
Glen Lake Community Schools,http://www.glenlakeschools.org
Glenn Public School District,http://www.glennpublicschool.org
Global Heights Academy,NA
Global Preparatory Academy,http://www.gpak8.com
Global Technical Academy,NA
Gobles Public School District,http://www.gobles.org
Godfrey-Lee Public Schools,http://www.godfrey-lee.org
Godwin Heights Public Schools,http://godwinschools.org
Gogebic-Ontonagon Independent School District,http://www.goisd.org
Goodrich Area Schools,http://www.goodrichschools.org
Grand Blanc Academy,http://grandblancacademy.org/
Grand Blanc Community Schools,http://www.grandblancschools.org
Grand Haven Area Public Schools,http://www.ghaps.org
Grand Ledge Public Schools,http://www.glcomets.net
Grand Rapids Child Discovery Center,http://www.childdiscoverycenter.org
Grand Rapids Ellington Academy Of Arts & Technology,http://www.greaat.com
Grand Rapids Public Schools,http://www.grps.k12.mi.us
Grand River Academy,NA
Grand River Preparatory High School,NA
Grand Traverse Academy,http://www.mygta.us
Grandville Public Schools,http://www.grandville.k12.mi.us
Grant Public School District,http://www.grantps.net
Grant Township School District #2,http://www.copperharborschool.org
Grass Lake Community Schools,http://www.grasslakeschools.com
Gratiot-Isabella Resd,http://www.giresd.net/giresd/
Grattan Academy,http://www.grattanacademy.org
Great Lakes Academy,http://www.greatlakesacademy.org
Great Lakes Cyber Academy,http://www.connectionsacademy.com/michigan-cyber-school/home.aspx
Great Oaks Academy,http://greatoaks.heritageacademies.com/
Greater Heights Academy,http://www.greaterheightsacademy.org
Greenville Public Schools,http://www.greenville.k12.mi.us
Grosse Ile Township Schools,http://www.gischools.org
Grosse Pointe Public Schools,http://www.gpschools.org
Gull Lake Community Schools,http://www.gulllakecs.org
Gwinn Area Community Schools,http://www.gwinn.k12.mi.us
Hagar Township School District #6,http://www.riversidehagar.org
Hale Area Schools,NA
Hamilton Academy,http://www.edpartners.net
Hamilton Community Schools,http://www.hamiltonschools.us
Hamtramck Academy,http://hamtramck.heritageacademies.com/
"Hamtramck, School District Of The City Of",http://www.hamtramck.k12.mi.us
Hancock Public Schools,http://www.hancockpublicschools.org
Hanley International Academy,http://www.hanleyacademy.com/
Hannahville Indian School,NA
Hanover-Horton School District,http://www.hhsd.k12.mi.us/
Harbor Beach Community Schools,http://www.hbpirates.org
Harbor Springs School District,http://www.harborps.org
Harper Creek Community Schools,http://harpercreek.net
"Harper Woods, The School District Of The City Of",http://www.hwschools.org
Harrison Community Schools,http://www.harrisonschools.com
Hart Public School District,http://www.hartschools.net
Hartford Public Schools,http://www.hpsmi.org
Hartland Consolidated Schools,http://hartlandschools.us
Haslett Public Schools,http://haslett.k12.mi.us
Hastings Area School District,http://www.hassk12.org
"Hazel Park, School District Of The City Of",http://www.hazelparkschools.org
Hemlock Public School District,http://www.hemlockps.com
Henry Ford Academy,http://www.hfacademy.org
Henry Ford Academy: School For Creative Studies (Psad),http://www.schoolforcreativestudies.org/
Hesperia Community Schools,http://www.hesp.net
Highland Park City Schools,http://www.resa.net/highlandpark
Highland Park Public School Academy System,NA
Highpoint Virtual Academy Of Michigan,NA
Hillman Community Schools,http://www.hillmanschools.com
Hillsdale Community Schools,http://www.hillsdaleschools.org
Hillsdale Independent School District,http://hillsdale-isd.org
Hillsdale Preparatory School,http://www.hillsdaleprep.org
Holland City School District,http://www.hollandpublicschools.org
Holly Academy,http://www.hollyacademy.org
Holly Area School District,http://www.has-k12.org
Holt Public Schools,http://www.hpsk12.net
Holton Public Schools,http://www.holtonschools.com
Homer Community School District,http://www.homerschools.net
Honey Creek Community School,http://honeycreekschool.org/
Hope Academy,http://www.hopeacad.org
Hope Academy Of West Michigan,http://www.hopeacad.org
Hope Of Detroit Academy,http://www.leonagroup.com/hope
Hopkins Public Schools,http://www.hpsvikings.org
Houghton Lake Community Schools,http://www.hlcsk12.net
Houghton-Portage Township School District,http://www.houghton.k12.mi.us/
Howell Public Schools,http://www.howellschools.com
Hudson Area Schools,http://www.hudson.k12.mi.us
Hudsonville Public School District,http://www.hpseagles.net
Huron Academy,http://www.huronacademy.org
Huron Independent School District,http://www.huronisd.org
Huron School District,http://www.huronschools.com
Huron Valley Schools,http://www.huronvalley.k12.mi.us
Icademy Global,NA
Ida Public School District,http://scnc.ida.k12.mi.us
Imlay City Community Schools,http://www.icschools.us
Ingham Independent School District,http://inghamisd.org
Inkster Preparatory Academy,NA
Inland Lakes Schools,http://www.inlandlakes.org
Innocademy,http://www.innocaemy.com
Innocademy Allegan Campus,NA
Insight School Of Michigan,http://mi.insightschools.net/who-we-are/transparency-reporting
International Academy Of Flint,http://www.iaf-sabis.net/
International Academy Of Saginaw,http://www.ias-sabis.net/
International Preparatory Academy - Macdowell Campus,http://www.ipa-sabis.net
Ionia Independent School District,http://www.ioniaisd.org
Ionia Public Schools,http://www.ioniaschools.org
Ionia Township School District #2,NA
Iosco Regional Educational Service Agency,http://www.iresa.k12.mi.us
Iron Mountain Public Schools,http://www.imschools.org
Ironwood Area Schools Of Gogebic County,http://www.ironwood.k12.mi.us
Ishpeming Public School District No. 1,http://www.ishpemingschools.org/
Island City Academy,http://www.islandcity.org
Ithaca Public Schools,http://www.ithacaschools.net
Jackson Independent School District,http://www.jcisd.org
Jackson Preparatory & Early College,http://www.jacksonpec.org
Jackson Public Schools,http://www.jpsk12.org
Jalen Rose Leadership Academy,http://www.jrladetroit.com
Jefferson International Academy,http://www.jeffersoninternationalacademy.com
Jefferson Schools (Monroe),http://jefferson.k12.mi.us
Jenison Public Schools,http://www.jpsonline.org
JKL Bahweting Anishnabe School,http://www.jklschool.org/jklschool/site/default.asp
Johannesburg-Lewiston Area Schools,http://www.jlas.org
Jonesville Community Schools,http://jonesvilleschools.org
Joseph K. Lumsden Bahweting Anishnabe Academy,http://www.jklschool.org/jklschool/site/default.asp
Joy Preparatory Academy,http://www.joyprep.com/index.htm
Kalamazoo Covenant Academy,NA
Kalamazoo Public Schools,http://www.kalamazoopublicschools.com/
Kalamazoo Regional Educational Service Agency,http://www.kresa.org
Kaleva Norman Dickson School District,http://www.knd.k12.mi.us/
Kalkaska Public Schools,http://kpschools.com
Kearsley Community School District,http://www.kearsley.k12.mi.us
Kelloggsville Public Schools,http://www.kvilleps.org
Kenowa Hills Public Schools,http://khps.org
Kensington Woods Schools,http://www.kwoods.org
